code;title;section;is_foil
00;Panini Logo;We Are Panini;TRUE
FWC1;Official Emblem;FIFA World Cup 2026;TRUE
FWC2;Official Emblem;FIFA World Cup 2026;TRUE
FWC3;Official Mascots;FIFA World Cup 2026;TRUE
FWC4;Official Slogan;FIFA World Cup 2026;TRUE
FWC5;Official Ball;FIFA World Cup 2026;TRUE
FWC6;Canada;Host Countries and Cities;TRUE
FWC7;Mexico;Host Countries and Cities;TRUE
FWC8;USA;Host Countries and Cities;TRUE
MEX1;Emblem;Mexico;TRUE
MEX2;Luis Malagón;Mexico;FALSE
MEX3;Johan Vasquez;Mexico;FALSE
MEX4;Jorge Sánchez;Mexico;FALSE
MEX5;Cesar Montes;Mexico;FALSE
MEX6;Jesus Gallardo;Mexico;FALSE
MEX7;Israel Reyes;Mexico;FALSE
MEX8;Diego Lainez;Mexico;FALSE
MEX9;Carlos Rodriguez;Mexico;FALSE
MEX10;Edson Alvarez;Mexico;FALSE
MEX11;Orbelin Pineda;Mexico;FALSE
MEX12;Marcel Ruiz;Mexico;FALSE
MEX13;Team Photo;Mexico;FALSE
MEX14;Érick Sánchez;Mexico;FALSE
MEX15;Hirving Lozano;Mexico;FALSE
MEX16;Santiago Giménez;Mexico;FALSE
MEX17;Raúl Jiménez;Mexico;FALSE
MEX18;Alexis Vega;Mexico;FALSE
MEX19;Roberto Alvarado;Mexico;FALSE
MEX20;Cesar Huerta;Mexico;FALSE
RSA1;Emblem;South Africa;TRUE
RSA2;Ronwen Williams;South Africa;FALSE
RSA3;Sipho Chaine;South Africa;FALSE
RSA4;Aubrey Modiba;South Africa;FALSE
RSA5;Samukele Kabini;South Africa;FALSE
RSA6;Mbekezeli Mbokazi;South Africa;FALSE
RSA7;Khulumani Ndamane;South Africa;FALSE
RSA8;Siyabonga Ngezana;South Africa;FALSE
RSA9;Khuliso Mudau;South Africa;FALSE
RSA10;Nkosinathi Sibisi;South Africa;FALSE
RSA11;Teboho Mokoena;South Africa;FALSE
RSA12;Thalente Mbatha;South Africa;FALSE
RSA13;Team Photo;South Africa;FALSE
RSA14;Bathusi Aubaas;South Africa;FALSE
